IP:Port,Loss,Latency
188.114.97.80:1180,0%,37.61
188.114.99.61:2371,0%,37.68
188.114.96.197:908,0%,37.74
188.114.99.127:1843,0%,37.86
188.114.99.94:5279,0%,37.89
188.114.99.248:1018,0%,37.92
188.114.99.91:4198,0%,37.93
188.114.98.199:7103,0%,37.95
188.114.97.239:1010,0%,37.98
188.114.97.185:854,0%,38.12
188.114.99.65:859,0%,38.15
188.114.99.124:987,0%,38.19
188.114.97.69:4233,0%,38.21
188.114.98.176:1002,0%,38.21
188.114.98.233:8854,0%,38.23
188.114.96.228:880,0%,38.24
188.114.97.239:939,0%,38.24
188.114.97.223:854,0%,38.25
188.114.98.5:968,0%,38.26
188.114.98.214:1070,0%,38.29
188.114.96.196:894,0%,38.32
188.114.96.167:1070,0%,38.32
188.114.96.89:934,0%,38.33
188.114.99.4:945,0%,38.34
188.114.98.245:988,0%,38.35
188.114.97.1:864,0%,38.38
188.114.98.173:903,0%,38.39
188.114.97.183:1014,0%,38.41
188.114.98.131:1701,0%,38.41
188.114.96.138:880,0%,38.42
188.114.98.177:880,0%,38.46
188.114.98.23:859,0%,38.48
188.114.96.242:8319,0%,38.48
188.114.96.243:8742,0%,38.49
188.114.99.227:854,0%,38.49
188.114.98.41:946,0%,38.57
188.114.98.238:7103,0%,38.58
188.114.98.222:2371,0%,38.61
188.114.99.253:4233,0%,38.61
188.114.97.122:894,0%,38.65
188.114.99.84:5279,0%,38.65
188.114.98.218:934,0%,38.65
188.114.98.246:1014,0%,38.67
188.114.99.54:5956,0%,38.69
188.114.96.46:988,0%,38.70
188.114.99.84:890,0%,38.71
188.114.98.219:5279,0%,38.73
188.114.97.49:955,0%,38.74
188.114.99.71:3854,0%,38.75
188.114.96.113:878,0%,38.75
188.114.98.200:864,0%,38.81
188.114.97.238:2371,0%,38.81
188.114.97.22:1701,0%,38.82
188.114.99.251:946,0%,38.83
188.114.96.74:880,0%,38.88
188.114.99.73:955,0%,38.88
188.114.98.160:3138,0%,38.88
188.114.97.20:3476,0%,38.92
188.114.98.27:5956,0%,38.93
188.114.97.147:946,0%,38.93
188.114.97.76:8319,0%,38.93
188.114.99.236:854,0%,38.97
188.114.96.184:1014,0%,38.98
188.114.98.239:1002,0%,38.99
188.114.97.78:8854,0%,39.02
188.114.96.72:891,0%,39.05
188.114.96.98:1843,0%,39.07
188.114.96.85:1010,0%,39.08
188.114.98.116:1014,0%,39.09
188.114.96.242:880,0%,39.13
188.114.97.210:1018,0%,39.13
188.114.99.105:859,0%,39.15
188.114.99.107:3581,0%,39.16
188.114.97.100:1074,0%,39.19
188.114.96.30:864,0%,39.19
188.114.99.115:934,0%,39.23
188.114.99.75:4233,0%,39.26
188.114.96.243:8886,0%,39.30
188.114.96.15:1010,0%,39.31
188.114.99.27:4500,0%,39.32
188.114.97.160:903,0%,39.33
188.114.99.198:8742,0%,39.38
188.114.97.254:903,0%,39.41
188.114.97.251:4198,0%,39.52
188.114.99.22:854,0%,39.53
188.114.96.47:1180,0%,39.57
188.114.97.156:5279,0%,39.62
188.114.97.31:1074,0%,39.65
188.114.97.133:3854,0%,39.67
188.114.98.116:4233,0%,39.72
188.114.96.94:3581,0%,39.72
188.114.98.228:894,0%,39.73
188.114.98.57:939,0%,39.74
188.114.99.198:4233,0%,39.74
188.114.99.121:878,0%,39.77
188.114.97.30:7281,0%,39.81
188.114.97.154:7156,0%,39.82
188.114.97.45:8742,0%,39.86
188.114.98.121:4500,0%,39.87
188.114.99.193:945,0%,39.88
188.114.97.246:7152,0%,39.89
188.114.98.127:987,0%,39.89
188.114.99.158:928,0%,39.93
188.114.97.156:7559,0%,39.96
188.114.98.47:1018,0%,39.98
188.114.99.154:3854,0%,39.98
188.114.98.209:878,0%,39.99
188.114.96.172:1387,0%,40.00
188.114.97.30:7156,0%,40.04
188.114.97.188:939,0%,40.05
188.114.99.222:890,0%,40.07
188.114.96.14:987,0%,40.10
188.114.96.249:2506,0%,40.11
188.114.99.112:968,0%,40.12
188.114.98.222:968,0%,40.12
188.114.96.209:3854,0%,40.15
188.114.98.243:1074,0%,40.17
188.114.98.112:2371,0%,40.18
188.114.99.133:880,0%,40.19
188.114.99.181:3581,0%,40.22
188.114.99.20:864,0%,40.22
188.114.99.23:4177,0%,40.22
188.114.96.130:500,0%,40.23
188.114.98.72:890,0%,40.24
188.114.97.99:945,0%,40.27
188.114.97.53:8886,0%,40.28
188.114.96.230:939,0%,40.28
188.114.97.139:7103,0%,40.34
188.114.98.158:1018,0%,40.35
188.114.98.138:880,0%,40.36
188.114.96.5:946,0%,40.36
188.114.96.105:987,0%,40.41
188.114.96.232:4500,0%,40.41
188.114.98.146:4233,0%,40.45
188.114.99.106:890,0%,40.47
188.114.98.245:946,0%,40.47
188.114.98.56:1074,0%,40.47
188.114.98.87:7152,0%,40.50
188.114.99.103:934,0%,40.53
188.114.98.187:934,0%,40.55
188.114.99.38:1014,0%,40.57
188.114.99.178:8886,0%,40.58
188.114.98.188:8886,0%,40.59
188.114.96.69:946,0%,40.60
188.114.98.57:864,0%,40.60
188.114.99.229:7156,0%,40.61
188.114.99.121:942,0%,40.62
188.114.96.137:4500,0%,40.63
188.114.97.224:880,0%,40.65
188.114.96.25:903,0%,40.66
188.114.97.143:4198,0%,40.66
188.114.96.197:945,0%,40.68
188.114.97.140:5956,0%,40.69
188.114.97.228:8886,0%,40.70
188.114.98.122:3138,0%,40.71
188.114.98.241:939,0%,40.72
188.114.99.83:928,0%,40.73
188.114.99.227:1843,0%,40.74
188.114.98.52:1002,0%,40.75
188.114.96.58:8319,0%,40.75
188.114.96.61:939,0%,40.76
188.114.97.229:4233,0%,40.76
188.114.96.189:7559,0%,40.77
188.114.97.243:908,0%,40.77
188.114.97.214:2408,0%,40.77
188.114.97.111:891,0%,40.77
188.114.96.8:1002,0%,40.77
188.114.96.42:3476,0%,40.77
188.114.99.32:8854,0%,40.78
188.114.97.72:2506,0%,40.79
188.114.96.139:939,0%,40.79
188.114.99.137:878,0%,40.81
188.114.97.144:7281,0%,40.82
188.114.99.151:5279,0%,40.84
188.114.98.90:7152,0%,40.84
188.114.97.121:1074,0%,40.85
188.114.96.47:4500,0%,40.86
188.114.98.206:968,0%,40.87
188.114.99.113:1701,0%,40.88
188.114.97.142:859,0%,40.88
188.114.96.40:942,0%,40.90
188.114.96.113:1070,0%,40.90
188.114.97.19:4198,0%,40.91
